                               Resultados computacionais pelo Método DFP
|               Ponto inicial                |# de iterações| # de cham. Armijo |              Ponto ótimo atual            |   Valor ótimo  |   Erro de aproximação |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |      15      |      47           | (-0.2050, -0.2050, 0.6416, -1.5810, 1.1786)  |    -0.9284     |   1.2272              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |      16      |      48           | (-0.2396, -0.2396, 0.5983, -1.6409, 1.1364)  |    -0.9465     |   0.5068              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |      17      |      50           | (-0.2297, -0.2297, 0.6111, -1.6362, 1.1334)  |    -0.9488     |   0.1909              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |      18      |      52           | (-0.2264, -0.2264, 0.6151, -1.6356, 1.1311)  |    -0.9492     |   0.0866              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |      19      |      54           | (-0.2250, -0.2250, 0.6169, -1.6357, 1.1296)  |    -0.9492     |   0.0466              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |      20      |      56           | (-0.2245, -0.2245, 0.6179, -1.6358, 1.1287)  |    -0.9493     |   0.0260              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |      21      |      58           | (-0.2245, -0.2245, 0.6184, -1.6359, 1.1282)  |    -0.9493     |   0.0150              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |      22      |      59           | (-0.2249, -0.2249, 0.6193, -1.6361, 1.1272)  |    -0.9493     |   0.0093              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |      23      |      61           | (-0.2250, -0.2250, 0.6191, -1.6361, 1.1275)  |    -0.9493     |   0.0040              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |      24      |      63           | (-0.2251, -0.2251, 0.6190, -1.6361, 1.1275)  |    -0.9493     |   0.0010              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |      25      |      65           | (-0.2251, -0.2251, 0.6190, -1.6361, 1.1275)  |    -0.9493     |   0.0002              |
|  (9.0000, 9.0000, 9.0000, 9.0000, 9.0000)  |      26      |      66           | (-0.2251, -0.2251, 0.6191, -1.6360, 1.1276)  |    -0.9493     |   0.0001              |

